                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.2909,                0.98997,                 1.2933,                0.75741,                0.61369,                 0.6704,                0.31867,                 1.8264,                  1.173,                 1.7195,              0.0010329,              0.0010329,              0.0010329
                     72,                 1.2855,                0.98121,                 1.2824,                0.85712,                 0.5643,                0.67664,                0.31534,                 1.8435,                 1.1852,                 1.7496,              0.0010272,              0.0010272,              0.0010272
                     73,                 1.2937,                0.96007,                 1.2893,                0.83338,                 0.6265,                 0.7017,                0.32688,                 1.8253,                 1.1456,                 1.7102,              0.0010216,              0.0010216,              0.0010216
                     74,                 1.2839,                0.95545,                 1.2877,                0.85759,                 0.5361,                 0.6681,                0.30208,                 1.8653,                  1.255,                 1.7698,              0.0010159,              0.0010159,              0.0010159
                     75,                 1.2761,                0.94966,                 1.2785,                 0.8065,                0.61847,                0.70605,                0.33257,                 1.7796,                 1.1239,                 1.6644,              0.0010102,              0.0010102,              0.0010102
                     76,                 1.2809,                0.95277,                 1.2744,                0.80009,                0.63785,                0.70865,                0.34237,                 1.7585,                 1.1597,                 1.6474,              0.0010046,              0.0010046,              0.0010046
                     77,                 1.2917,                0.97357,                 1.2858,                0.77116,                0.63765,                0.69046,                0.33688,                 1.7993,                 1.1339,                 1.6742,             0.00099893,             0.00099893,             0.00099893
                     78,                 1.2834,                0.95635,                 1.2751,                0.85161,                0.61935,                0.69668,                0.33026,                 1.8062,                  1.214,                  1.728,             0.00099327,             0.00099327,             0.00099327
                     79,                 1.2517,                0.93643,                 1.2719,                0.79183,                0.60125,                0.67616,                0.32481,                 1.8242,                 1.1509,                 1.7095,             0.00098761,             0.00098761,             0.00098761
                     80,                   1.25,                0.92012,                 1.2654,                0.76177,                0.62917,                0.67934,                0.32686,                 1.8022,                 1.2045,                  1.724,             0.00098195,             0.00098195,             0.00098195
                     81,                 1.2441,                0.92099,                 1.2751,                0.73121,                0.57483,                0.63607,                0.30944,                 1.8144,                 1.2628,                 1.7252,             0.00097629,             0.00097629,             0.00097629
                     82,                 1.2561,                0.91143,                 1.2732,                0.81895,                0.59722,                0.69745,                0.33297,                 1.7865,                 1.1416,                 1.6813,             0.00097063,             0.00097063,             0.00097063
                     83,                 1.2568,                0.91578,                  1.258,                0.76532,                0.60567,                0.67202,                0.32975,                   1.82,                 1.1842,                 1.7069,             0.00096498,             0.00096498,             0.00096498
                     84,                 1.2362,                0.90973,                 1.2554,                0.72657,                0.61753,                0.68467,                0.33391,                 1.7926,                 1.1613,                 1.6927,             0.00095932,             0.00095932,             0.00095932
                     85,                 1.2195,                0.90315,                  1.247,                0.75848,                0.60238,                0.66592,                0.30839,                 1.8425,                 1.2676,                 1.7632,             0.00095366,             0.00095366,             0.00095366
                     86,                 1.2363,                0.91916,                  1.258,                0.76342,                0.59786,                0.66452,                0.31021,                 1.8521,                  1.224,                  1.761,               0.000948,               0.000948,               0.000948
                     87,                 1.2276,                0.88985,                  1.253,                0.78807,                0.62159,                0.69537,                0.33221,                 1.8243,                  1.158,                 1.6972,             0.00094234,             0.00094234,             0.00094234
                     88,                 1.2126,                0.89727,                 1.2385,                0.79307,                0.63444,                0.71253,                0.34383,                 1.8103,                 1.1132,                 1.6742,             0.00093668,             0.00093668,             0.00093668
                     89,                 1.2481,                0.90795,                 1.2505,                0.72916,                0.66272,                0.70156,                0.33435,                 1.8061,                 1.1667,                 1.6891,             0.00093102,             0.00093102,             0.00093102
                     90,                 1.2118,                0.88902,                 1.2466,                0.71398,                0.60941,                0.67148,                0.31742,                 1.8417,                 1.1619,                 1.7252,             0.00092536,             0.00092536,             0.00092536
                     91,                 1.2204,                0.89018,                 1.2438,                0.79281,                0.60036,                0.69536,                0.32324,                 1.8517,                 1.1354,                 1.7258,              0.0009197,              0.0009197,              0.0009197
                     92,                  1.196,                0.87896,                 1.2426,                0.74418,                0.63777,                0.68518,                0.33183,                 1.7832,                 1.1482,                  1.697,             0.00091405,             0.00091405,             0.00091405
                     93,                 1.2291,                0.89049,                 1.2531,                0.85238,                0.60914,                0.70813,                0.33353,                   1.82,                 1.1222,                 1.6927,             0.00090839,             0.00090839,             0.00090839
                     94,                 1.2217,                0.87705,                 1.2419,                 0.7616,                0.62736,                0.70145,                0.32969,                 1.8094,                 1.1338,                 1.6781,             0.00090273,             0.00090273,             0.00090273
                     95,                 1.2017,                0.88051,                 1.2453,                0.77949,                0.60553,                0.68523,                0.33076,                 1.7776,                  1.196,                 1.7074,             0.00089707,             0.00089707,             0.00089707
                     96,                 1.2201,                0.87246,                 1.2443,                0.82865,                0.62008,                0.71231,                 0.3349,                 1.7884,                 1.0888,                 1.6604,             0.00089141,             0.00089141,             0.00089141
                     97,                 1.1944,                0.86678,                 1.2263,                0.80949,                0.64004,                0.72018,                0.35519,                 1.7587,                 1.0782,                 1.6493,             0.00088575,             0.00088575,             0.00088575
                     98,                 1.2049,                0.86682,                 1.2365,                0.81024,                0.63618,                0.71957,                0.35942,                 1.7629,                 1.1015,                 1.6524,             0.00088009,             0.00088009,             0.00088009
                     99,                 1.1828,                0.85234,                 1.2307,                0.80123,                0.60844,                0.70341,                0.33979,                 1.7894,                 1.1068,                 1.7108,             0.00087443,             0.00087443,             0.00087443
                    100,                 1.1782,                0.85899,                 1.2275,                0.80612,                 0.6358,                0.70078,                0.33545,                 1.7752,                 1.0974,                 1.6984,             0.00086877,             0.00086877,             0.00086877
                    101,                 1.1748,                0.85659,                  1.227,                0.80862,                0.65465,                0.72742,                0.34725,                 1.8002,                 1.1235,                 1.6905,             0.00086312,             0.00086312,             0.00086312
                    102,                 1.1651,                0.84602,                 1.2217,                0.83866,                0.63103,                0.71943,                0.33824,                 1.8101,                  1.116,                 1.7126,             0.00085746,             0.00085746,             0.00085746
                    103,                 1.1845,                0.84868,                 1.2202,                0.81424,                0.62226,                0.71681,                0.34531,                 1.8236,                 1.0866,                 1.7278,              0.0008518,              0.0008518,              0.0008518
